Latitude_(deg),Longitude_(deg),Activity_concentration,Distance_from_FDNPP,Total_biomass,Tree_height,Elevation,Mushroom_animal_name_encoded,Variance_type_inv_encoded,Wild_Grown_mushroom_encoded,Leaf/ring_age_encoded,Slope_aspect_encoded,Position_on_slope_encoded,Thickness_type_litter_encoded,Leaf_habit_encoded,Parts_animal_encoded,Mushroom_animal_scientific_name_encoded,Parts_encoded
37.0,140.0,6.621405651764134,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,6.878326468291325,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,6.19644412779452,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,6.3818160174060985,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,5.942799375126701,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,6.792344427470809,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,4.59511985013459,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,5.14166355650266,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,18
37.0,140.0,5.25227342804663,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,18
37.0,140.0,5.638354669333745,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,18
37.0,140.0,6.647688373563329,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,5.3981627015177525,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,5.351858133476067,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,18
37.0,140.0,7.696667081526462,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,7.378383712996714,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,7.244941546337007,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,7.378383712996714,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,4
37.0,140.0,5.968707559985366,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,4
37.0,140.0,7.550135342488429,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,4
37.0,140.0,7.438971592395862,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,7.972810784121404,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,7.601402334583733,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,4
37.0,140.0,10.085850775128716,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,29
37.0,140.0,8.764209507142004,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,29
37.0,140.0,8.517393171418904,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,29
37.0,140.0,8.839421607620602,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,29
37.0,140.0,8.682877107057168,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,29
37.0,140.0,9.39274525863144,20.03,,,460.0,129,1,1,43,7,7,58,1,0,191,29
37.0,140.0,9.680406499268877,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,29
37.0,140.0,9.61587214452889,20.03,,,460.0,129,1,1,43,7,7,58,0,0,191,29
